country,iso_code,year,tracking,competence,shipments,customs,timeliness,lpi_overall,infrastructure,export_value_usd,distance_to_canal_km
Argentina,ARG,2022,2.9,2.7,2.7,2.7,3.1,2.8,2.8,88445718838.32,5350
Argentina,ARG,2018,3.05,2.78,2.92,2.42,3.37,2.89,2.77,61559407361.54,5350
Brazil,BRA,2022,3.2,3.3,2.9,2.9,3.5,3.2,3.2,334463079195.0,5106
Brazil,BRA,2018,3.11,3.09,2.88,2.41,3.51,2.99,2.93,231889523399.0,5106
Chile,CHL,2022,3.0,3.1,2.7,3.0,3.2,3.0,2.8,98557005169.484,4824
Chile,CHL,2018,3.2,3.13,3.27,3.27,3.8,3.32,3.21,74837981347.413,4824
Colombia,COL,2022,3.1,3.1,3.0,2.5,3.2,2.9,2.9,56910136647.72,483
Colombia,COL,2018,3.08,2.87,3.19,2.61,3.17,2.94,2.67,41831520220.79,483
Dominican Republic,DOM,2022,2.4,2.6,2.4,2.6,3.1,2.6,2.7,9836347238.656,1483
Dominican Republic,DOM,2018,2.97,2.44,2.77,2.41,2.98,2.66,2.36,10758010743.568,1483
Jamaica,JAM,2022,2.8,2.5,2.4,2.2,2.9,2.5,2.4,1901415818.93,1039
Jamaica,JAM,2018,2.48,2.54,2.53,2.42,2.79,2.52,2.32,1960739706.67,1039
Mexico,MEX,2022,3.1,3.0,2.8,2.5,3.5,2.9,2.8,577730713416.0,2388
Mexico,MEX,2018,3.0,3.02,3.1,2.77,3.53,3.05,2.85,450683646625.0,2388
Panama,PAN,2022,2.9,3.0,3.1,3.0,3.4,3.1,3.3,3652153568.0,20
Panama,PAN,2018,3.4,3.33,3.31,2.87,3.6,3.28,3.13,11480107616.0,20
Peru,PER,2022,3.4,2.7,3.1,2.6,3.4,3.0,2.5,58172421866.18,2367
Peru,PER,2018,2.55,2.42,2.84,2.53,3.45,2.69,2.28,48015148375.34,2367
